iteration 1: Time:0.01, TrainLoss: 0.6850, TrainAccu: 0.5000, TestLoss: 0.6470, TestAccu: 0.7060
iteration 2: Time:0.72, TrainLoss: 0.6702, TrainAccu: 0.5005, TestLoss: 0.6361, TestAccu: 0.6760
iteration 3: Time:1.34, TrainLoss: 0.6677, TrainAccu: 0.5005, TestLoss: 0.6338, TestAccu: 0.6870
iteration 4: Time:1.97, TrainLoss: 0.6650, TrainAccu: 0.5005, TestLoss: 0.6314, TestAccu: 0.6970
iteration 5: Time:2.59, TrainLoss: 0.6623, TrainAccu: 0.5005, TestLoss: 0.6289, TestAccu: 0.7060
iteration 6: Time:3.21, TrainLoss: 0.6596, TrainAccu: 0.5012, TestLoss: 0.6264, TestAccu: 0.7160
iteration 7: Time:3.83, TrainLoss: 0.6568, TrainAccu: 0.5020, TestLoss: 0.6239, TestAccu: 0.7220
iteration 8: Time:4.44, TrainLoss: 0.6541, TrainAccu: 0.5022, TestLoss: 0.6214, TestAccu: 0.7310
iteration 9: Time:5.06, TrainLoss: 0.6513, TrainAccu: 0.5022, TestLoss: 0.6189, TestAccu: 0.7360
iteration 10: Time:5.69, TrainLoss: 0.6486, TrainAccu: 0.5038, TestLoss: 0.6164, TestAccu: 0.7410
iteration 11: Time:6.31, TrainLoss: 0.6458, TrainAccu: 0.5040, TestLoss: 0.6140, TestAccu: 0.7440
iteration 12: Time:6.94, TrainLoss: 0.6431, TrainAccu: 0.5060, TestLoss: 0.6115, TestAccu: 0.7550
iteration 13: Time:7.57, TrainLoss: 0.6404, TrainAccu: 0.5065, TestLoss: 0.6091, TestAccu: 0.7650
iteration 14: Time:8.20, TrainLoss: 0.6377, TrainAccu: 0.5110, TestLoss: 0.6067, TestAccu: 0.7680
iteration 15: Time:8.86, TrainLoss: 0.6351, TrainAccu: 0.5140, TestLoss: 0.6043, TestAccu: 0.7750
iteration 16: Time:9.53, TrainLoss: 0.6324, TrainAccu: 0.5172, TestLoss: 0.6019, TestAccu: 0.7780
iteration 17: Time:10.20, TrainLoss: 0.6298, TrainAccu: 0.5205, TestLoss: 0.5995, TestAccu: 0.7810
iteration 18: Time:10.89, TrainLoss: 0.6271, TrainAccu: 0.5242, TestLoss: 0.5971, TestAccu: 0.7820
iteration 19: Time:11.58, TrainLoss: 0.6245, TrainAccu: 0.5292, TestLoss: 0.5948, TestAccu: 0.7900
iteration 20: Time:12.26, TrainLoss: 0.6219, TrainAccu: 0.5347, TestLoss: 0.5924, TestAccu: 0.7930
iteration 21: Time:12.95, TrainLoss: 0.6194, TrainAccu: 0.5395, TestLoss: 0.5901, TestAccu: 0.7970
iteration 22: Time:13.61, TrainLoss: 0.6168, TrainAccu: 0.5465, TestLoss: 0.5878, TestAccu: 0.8010
iteration 23: Time:14.29, TrainLoss: 0.6143, TrainAccu: 0.5527, TestLoss: 0.5855, TestAccu: 0.8020
iteration 24: Time:14.93, TrainLoss: 0.6118, TrainAccu: 0.5583, TestLoss: 0.5833, TestAccu: 0.8070
iteration 25: Time:15.59, TrainLoss: 0.6093, TrainAccu: 0.5657, TestLoss: 0.5810, TestAccu: 0.8110
iteration 26: Time:16.25, TrainLoss: 0.6068, TrainAccu: 0.5745, TestLoss: 0.5788, TestAccu: 0.8110
iteration 27: Time:16.90, TrainLoss: 0.6044, TrainAccu: 0.5793, TestLoss: 0.5765, TestAccu: 0.8160
iteration 28: Time:17.55, TrainLoss: 0.6019, TrainAccu: 0.5853, TestLoss: 0.5743, TestAccu: 0.8170
iteration 29: Time:18.21, TrainLoss: 0.5995, TrainAccu: 0.5905, TestLoss: 0.5721, TestAccu: 0.8190
iteration 30: Time:18.87, TrainLoss: 0.5971, TrainAccu: 0.5965, TestLoss: 0.5700, TestAccu: 0.8200
iteration 31: Time:19.52, TrainLoss: 0.5947, TrainAccu: 0.6028, TestLoss: 0.5678, TestAccu: 0.8240
iteration 32: Time:20.17, TrainLoss: 0.5923, TrainAccu: 0.6105, TestLoss: 0.5657, TestAccu: 0.8240
iteration 33: Time:20.84, TrainLoss: 0.5900, TrainAccu: 0.6188, TestLoss: 0.5635, TestAccu: 0.8260
iteration 34: Time:21.52, TrainLoss: 0.5877, TrainAccu: 0.6260, TestLoss: 0.5614, TestAccu: 0.8270
iteration 35: Time:22.20, TrainLoss: 0.5854, TrainAccu: 0.6330, TestLoss: 0.5593, TestAccu: 0.8270
iteration 36: Time:23.19, TrainLoss: 0.5831, TrainAccu: 0.6388, TestLoss: 0.5572, TestAccu: 0.8300
iteration 37: Time:23.90, TrainLoss: 0.5808, TrainAccu: 0.6465, TestLoss: 0.5552, TestAccu: 0.8310
iteration 38: Time:24.65, TrainLoss: 0.5785, TrainAccu: 0.6532, TestLoss: 0.5531, TestAccu: 0.8320
iteration 39: Time:25.30, TrainLoss: 0.5763, TrainAccu: 0.6603, TestLoss: 0.5511, TestAccu: 0.8330
iteration 40: Time:25.95, TrainLoss: 0.5741, TrainAccu: 0.6687, TestLoss: 0.5490, TestAccu: 0.8340
iteration 41: Time:26.74, TrainLoss: 0.5719, TrainAccu: 0.6740, TestLoss: 0.5470, TestAccu: 0.8360
iteration 42: Time:27.42, TrainLoss: 0.5697, TrainAccu: 0.6800, TestLoss: 0.5450, TestAccu: 0.8360
iteration 43: Time:28.15, TrainLoss: 0.5675, TrainAccu: 0.6865, TestLoss: 0.5431, TestAccu: 0.8370
iteration 44: Time:28.83, TrainLoss: 0.5653, TrainAccu: 0.6933, TestLoss: 0.5411, TestAccu: 0.8400
iteration 45: Time:29.56, TrainLoss: 0.5632, TrainAccu: 0.6990, TestLoss: 0.5391, TestAccu: 0.8430
iteration 46: Time:30.23, TrainLoss: 0.5611, TrainAccu: 0.7035, TestLoss: 0.5372, TestAccu: 0.8450
iteration 47: Time:30.90, TrainLoss: 0.5590, TrainAccu: 0.7103, TestLoss: 0.5353, TestAccu: 0.8450
iteration 48: Time:31.57, TrainLoss: 0.5569, TrainAccu: 0.7167, TestLoss: 0.5333, TestAccu: 0.8460
iteration 49: Time:32.25, TrainLoss: 0.5548, TrainAccu: 0.7202, TestLoss: 0.5314, TestAccu: 0.8470
iteration 50: Time:32.92, TrainLoss: 0.5527, TrainAccu: 0.7275, TestLoss: 0.5296, TestAccu: 0.8480
iteration 51: Time:33.59, TrainLoss: 0.5507, TrainAccu: 0.7328, TestLoss: 0.5277, TestAccu: 0.8500
iteration 52: Time:34.25, TrainLoss: 0.5487, TrainAccu: 0.7390, TestLoss: 0.5258, TestAccu: 0.8510
iteration 53: Time:34.90, TrainLoss: 0.5466, TrainAccu: 0.7428, TestLoss: 0.5240, TestAccu: 0.8520
iteration 54: Time:35.56, TrainLoss: 0.5446, TrainAccu: 0.7478, TestLoss: 0.5221, TestAccu: 0.8550
iteration 55: Time:36.23, TrainLoss: 0.5427, TrainAccu: 0.7538, TestLoss: 0.5203, TestAccu: 0.8560
iteration 56: Time:36.88, TrainLoss: 0.5407, TrainAccu: 0.7575, TestLoss: 0.5185, TestAccu: 0.8570
iteration 57: Time:37.54, TrainLoss: 0.5387, TrainAccu: 0.7625, TestLoss: 0.5167, TestAccu: 0.8580
iteration 58: Time:38.21, TrainLoss: 0.5368, TrainAccu: 0.7680, TestLoss: 0.5149, TestAccu: 0.8610
iteration 59: Time:38.87, TrainLoss: 0.5349, TrainAccu: 0.7745, TestLoss: 0.5131, TestAccu: 0.8620
iteration 60: Time:39.53, TrainLoss: 0.5329, TrainAccu: 0.7795, TestLoss: 0.5114, TestAccu: 0.8650
iteration 61: Time:40.20, TrainLoss: 0.5310, TrainAccu: 0.7817, TestLoss: 0.5096, TestAccu: 0.8650
iteration 62: Time:40.88, TrainLoss: 0.5291, TrainAccu: 0.7860, TestLoss: 0.5079, TestAccu: 0.8670
iteration 63: Time:41.55, TrainLoss: 0.5273, TrainAccu: 0.7900, TestLoss: 0.5061, TestAccu: 0.8670
iteration 64: Time:42.22, TrainLoss: 0.5254, TrainAccu: 0.7950, TestLoss: 0.5044, TestAccu: 0.8670
iteration 65: Time:42.88, TrainLoss: 0.5236, TrainAccu: 0.7977, TestLoss: 0.5027, TestAccu: 0.8680
iteration 66: Time:43.55, TrainLoss: 0.5217, TrainAccu: 0.8017, TestLoss: 0.5010, TestAccu: 0.8680
iteration 67: Time:44.22, TrainLoss: 0.5199, TrainAccu: 0.8045, TestLoss: 0.4993, TestAccu: 0.8680
iteration 68: Time:44.87, TrainLoss: 0.5181, TrainAccu: 0.8090, TestLoss: 0.4977, TestAccu: 0.8690
iteration 69: Time:45.54, TrainLoss: 0.5163, TrainAccu: 0.8120, TestLoss: 0.4960, TestAccu: 0.8690
iteration 70: Time:46.19, TrainLoss: 0.5145, TrainAccu: 0.8140, TestLoss: 0.4943, TestAccu: 0.8690
iteration 71: Time:46.85, TrainLoss: 0.5128, TrainAccu: 0.8173, TestLoss: 0.4927, TestAccu: 0.8690
iteration 72: Time:47.51, TrainLoss: 0.5110, TrainAccu: 0.8195, TestLoss: 0.4911, TestAccu: 0.8700
iteration 73: Time:48.17, TrainLoss: 0.5093, TrainAccu: 0.8233, TestLoss: 0.4895, TestAccu: 0.8700
iteration 74: Time:48.84, TrainLoss: 0.5075, TrainAccu: 0.8233, TestLoss: 0.4878, TestAccu: 0.8710
iteration 75: Time:49.52, TrainLoss: 0.5058, TrainAccu: 0.8270, TestLoss: 0.4862, TestAccu: 0.8710
iteration 76: Time:50.19, TrainLoss: 0.5041, TrainAccu: 0.8287, TestLoss: 0.4847, TestAccu: 0.8720
iteration 77: Time:50.87, TrainLoss: 0.5024, TrainAccu: 0.8313, TestLoss: 0.4831, TestAccu: 0.8720
iteration 78: Time:51.57, TrainLoss: 0.5007, TrainAccu: 0.8335, TestLoss: 0.4815, TestAccu: 0.8710
iteration 79: Time:52.26, TrainLoss: 0.4990, TrainAccu: 0.8360, TestLoss: 0.4800, TestAccu: 0.8720
iteration 80: Time:52.93, TrainLoss: 0.4974, TrainAccu: 0.8367, TestLoss: 0.4784, TestAccu: 0.8720
iteration 81: Time:53.58, TrainLoss: 0.4957, TrainAccu: 0.8383, TestLoss: 0.4769, TestAccu: 0.8740
iteration 82: Time:54.25, TrainLoss: 0.4941, TrainAccu: 0.8403, TestLoss: 0.4753, TestAccu: 0.8740
iteration 83: Time:54.94, TrainLoss: 0.4924, TrainAccu: 0.8430, TestLoss: 0.4738, TestAccu: 0.8750
iteration 84: Time:55.61, TrainLoss: 0.4908, TrainAccu: 0.8445, TestLoss: 0.4723, TestAccu: 0.8760
iteration 85: Time:56.27, TrainLoss: 0.4892, TrainAccu: 0.8452, TestLoss: 0.4708, TestAccu: 0.8760
iteration 86: Time:56.94, TrainLoss: 0.4876, TrainAccu: 0.8465, TestLoss: 0.4693, TestAccu: 0.8770
iteration 87: Time:57.61, TrainLoss: 0.4860, TrainAccu: 0.8478, TestLoss: 0.4679, TestAccu: 0.8770
iteration 88: Time:58.27, TrainLoss: 0.4845, TrainAccu: 0.8490, TestLoss: 0.4664, TestAccu: 0.8770
iteration 89: Time:58.94, TrainLoss: 0.4829, TrainAccu: 0.8495, TestLoss: 0.4649, TestAccu: 0.8770
iteration 90: Time:59.61, TrainLoss: 0.4813, TrainAccu: 0.8512, TestLoss: 0.4635, TestAccu: 0.8770
iteration 91: Time:60.29, TrainLoss: 0.4798, TrainAccu: 0.8535, TestLoss: 0.4620, TestAccu: 0.8780
iteration 92: Time:60.95, TrainLoss: 0.4783, TrainAccu: 0.8552, TestLoss: 0.4606, TestAccu: 0.8780
