iteration 1: Time:0.07, TrainLoss: 0.9229, TrainAccu: 0.5000, TestLoss: 0.6897, TestAccu: 0.5680
iteration 25: Time:1.07, TrainLoss: 1.8232, TrainAccu: 0.5000, TestLoss: 0.6496, TestAccu: 0.6530
iteration 50: Time:1.88, TrainLoss: 2.2196, TrainAccu: 0.5000, TestLoss: 0.6262, TestAccu: 0.8100
iteration 75: Time:2.71, TrainLoss: 1.6317, TrainAccu: 0.5000, TestLoss: 0.5817, TestAccu: 0.8040
iteration 100: Time:3.81, TrainLoss: 1.6618, TrainAccu: 0.5000, TestLoss: 0.5634, TestAccu: 0.8400
iteration 125: Time:4.78, TrainLoss: 1.3346, TrainAccu: 0.5194, TestLoss: 0.5317, TestAccu: 0.8550
iteration 150: Time:5.58, TrainLoss: 1.0791, TrainAccu: 0.5499, TestLoss: 0.5198, TestAccu: 0.8670
iteration 175: Time:6.38, TrainLoss: 0.8117, TrainAccu: 0.6714, TestLoss: 0.5030, TestAccu: 0.8690
iteration 200: Time:7.18, TrainLoss: 0.5371, TrainAccu: 0.7601, TestLoss: 0.4991, TestAccu: 0.8780
iteration 225: Time:7.98, TrainLoss: 0.4063, TrainAccu: 0.8256, TestLoss: 0.4957, TestAccu: 0.8760
iteration 250: Time:8.78, TrainLoss: 0.3652, TrainAccu: 0.8533, TestLoss: 0.4960, TestAccu: 0.8820
iteration 275: Time:9.58, TrainLoss: 0.3536, TrainAccu: 0.8532, TestLoss: 0.4961, TestAccu: 0.8820
iteration 300: Time:10.38, TrainLoss: 0.3481, TrainAccu: 0.8615, TestLoss: 0.4965, TestAccu: 0.8870
iteration 325: Time:11.18, TrainLoss: 0.3457, TrainAccu: 0.8581, TestLoss: 0.4967, TestAccu: 0.8870
iteration 350: Time:11.98, TrainLoss: 0.3470, TrainAccu: 0.8659, TestLoss: 0.4970, TestAccu: 0.8920
iteration 375: Time:12.77, TrainLoss: 0.3593, TrainAccu: 0.8473, TestLoss: 0.4970, TestAccu: 0.8890
iteration 400: Time:13.59, TrainLoss: 0.3897, TrainAccu: 0.8423, TestLoss: 0.4962, TestAccu: 0.8950
iteration 425: Time:14.39, TrainLoss: 0.4126, TrainAccu: 0.8210, TestLoss: 0.4953, TestAccu: 0.8900
iteration 450: Time:15.19, TrainLoss: 0.3788, TrainAccu: 0.8499, TestLoss: 0.4935, TestAccu: 0.8930
iteration 475: Time:16.11, TrainLoss: 0.3492, TrainAccu: 0.8532, TestLoss: 0.4935, TestAccu: 0.8940
iteration 500: Time:16.94, TrainLoss: 0.3335, TrainAccu: 0.8730, TestLoss: 0.4931, TestAccu: 0.8950
iteration 525: Time:17.74, TrainLoss: 0.3269, TrainAccu: 0.8686, TestLoss: 0.4936, TestAccu: 0.8980
iteration 550: Time:18.54, TrainLoss: 0.3232, TrainAccu: 0.8763, TestLoss: 0.4935, TestAccu: 0.9000
iteration 575: Time:19.34, TrainLoss: 0.3209, TrainAccu: 0.8708, TestLoss: 0.4939, TestAccu: 0.8960
iteration 600: Time:20.14, TrainLoss: 0.3192, TrainAccu: 0.8781, TestLoss: 0.4938, TestAccu: 0.8970
iteration 625: Time:20.95, TrainLoss: 0.3181, TrainAccu: 0.8726, TestLoss: 0.4942, TestAccu: 0.8970
iteration 650: Time:21.76, TrainLoss: 0.3173, TrainAccu: 0.8792, TestLoss: 0.4939, TestAccu: 0.8970
iteration 675: Time:22.56, TrainLoss: 0.3173, TrainAccu: 0.8742, TestLoss: 0.4942, TestAccu: 0.8960
