iteration 1: Time:0.01, TrainLoss: 1.7113, TrainAccu: 0.5000, TestLoss: 0.8023, TestAccu: 0.5000
iteration 2: Time:0.01, TrainLoss: 1.3841, TrainAccu: 0.5000, TestLoss: 0.7600, TestAccu: 0.5000
iteration 3: Time:0.02, TrainLoss: 1.3800, TrainAccu: 0.5000, TestLoss: 0.7595, TestAccu: 0.5000
iteration 4: Time:0.03, TrainLoss: 1.3770, TrainAccu: 0.5000, TestLoss: 0.7591, TestAccu: 0.5000
iteration 5: Time:0.03, TrainLoss: 1.3739, TrainAccu: 0.5000, TestLoss: 0.7587, TestAccu: 0.5000
iteration 6: Time:0.04, TrainLoss: 1.3709, TrainAccu: 0.5000, TestLoss: 0.7584, TestAccu: 0.5000
iteration 7: Time:0.05, TrainLoss: 1.3679, TrainAccu: 0.5000, TestLoss: 0.7580, TestAccu: 0.5000
iteration 8: Time:0.06, TrainLoss: 1.3649, TrainAccu: 0.5000, TestLoss: 0.7576, TestAccu: 0.5000
iteration 9: Time:0.06, TrainLoss: 1.3620, TrainAccu: 0.5000, TestLoss: 0.7572, TestAccu: 0.5000
iteration 10: Time:0.07, TrainLoss: 1.3590, TrainAccu: 0.5000, TestLoss: 0.7568, TestAccu: 0.5000
iteration 11: Time:0.08, TrainLoss: 1.3561, TrainAccu: 0.5000, TestLoss: 0.7564, TestAccu: 0.5000
iteration 12: Time:0.09, TrainLoss: 1.3532, TrainAccu: 0.5000, TestLoss: 0.7559, TestAccu: 0.5000
iteration 13: Time:0.09, TrainLoss: 1.3502, TrainAccu: 0.5000, TestLoss: 0.7555, TestAccu: 0.5000
iteration 14: Time:0.10, TrainLoss: 1.3473, TrainAccu: 0.5000, TestLoss: 0.7551, TestAccu: 0.5000
iteration 15: Time:0.11, TrainLoss: 1.3445, TrainAccu: 0.5000, TestLoss: 0.7547, TestAccu: 0.5000
iteration 16: Time:0.12, TrainLoss: 1.3416, TrainAccu: 0.5000, TestLoss: 0.7543, TestAccu: 0.5000
iteration 17: Time:0.12, TrainLoss: 1.3387, TrainAccu: 0.5000, TestLoss: 0.7538, TestAccu: 0.5000
iteration 18: Time:0.13, TrainLoss: 1.3359, TrainAccu: 0.5000, TestLoss: 0.7534, TestAccu: 0.5000
iteration 19: Time:0.14, TrainLoss: 1.3330, TrainAccu: 0.5000, TestLoss: 0.7530, TestAccu: 0.5000
iteration 20: Time:0.15, TrainLoss: 1.3302, TrainAccu: 0.5000, TestLoss: 0.7525, TestAccu: 0.5000
iteration 21: Time:0.15, TrainLoss: 1.3274, TrainAccu: 0.5000, TestLoss: 0.7521, TestAccu: 0.5000
iteration 22: Time:0.16, TrainLoss: 1.3246, TrainAccu: 0.5000, TestLoss: 0.7517, TestAccu: 0.5000
iteration 23: Time:0.17, TrainLoss: 1.3218, TrainAccu: 0.5000, TestLoss: 0.7512, TestAccu: 0.5000
iteration 24: Time:0.18, TrainLoss: 1.3190, TrainAccu: 0.5000, TestLoss: 0.7508, TestAccu: 0.5000
iteration 25: Time:0.18, TrainLoss: 1.3162, TrainAccu: 0.5000, TestLoss: 0.7503, TestAccu: 0.5000
iteration 26: Time:0.19, TrainLoss: 1.3134, TrainAccu: 0.5000, TestLoss: 0.7498, TestAccu: 0.5000
iteration 27: Time:0.20, TrainLoss: 1.3106, TrainAccu: 0.5000, TestLoss: 0.7494, TestAccu: 0.5000
