epoch 1[0/10000 (0%)]: Time:0.04, TrainLoss: 2.6130, TrainAccu: 0.5100, TestLoss: 0.6703, TestAccu: 0.5990
epoch 1[500/10000 (5%)]: Time:0.05, TrainLoss: 0.6398, TrainAccu: 0.7200, TestLoss: 0.6743, TestAccu: 0.7010
epoch 1[1000/10000 (10%)]: Time:0.07, TrainLoss: 0.6270, TrainAccu: 0.7800, TestLoss: 0.6725, TestAccu: 0.7090
epoch 1[1500/10000 (15%)]: Time:0.08, TrainLoss: 0.6364, TrainAccu: 0.7100, TestLoss: 0.6711, TestAccu: 0.7240
epoch 1[2000/10000 (20%)]: Time:0.10, TrainLoss: 0.6238, TrainAccu: 0.7300, TestLoss: 0.6695, TestAccu: 0.7420
epoch 1[2500/10000 (25%)]: Time:0.11, TrainLoss: 0.6050, TrainAccu: 0.8600, TestLoss: 0.6679, TestAccu: 0.7490
epoch 1[3000/10000 (30%)]: Time:0.13, TrainLoss: 0.6072, TrainAccu: 0.8100, TestLoss: 0.6659, TestAccu: 0.7570
epoch 1[3500/10000 (35%)]: Time:0.20, TrainLoss: 0.6130, TrainAccu: 0.6400, TestLoss: 0.6647, TestAccu: 0.7630
epoch 1[4000/10000 (40%)]: Time:0.22, TrainLoss: 0.6224, TrainAccu: 0.7500, TestLoss: 0.6638, TestAccu: 0.7670
epoch 1[4500/10000 (45%)]: Time:0.24, TrainLoss: 0.6093, TrainAccu: 0.7300, TestLoss: 0.6620, TestAccu: 0.7740
epoch 1[5000/10000 (50%)]: Time:0.25, TrainLoss: 0.5974, TrainAccu: 0.8200, TestLoss: 0.6611, TestAccu: 0.7800
epoch 1[5500/10000 (55%)]: Time:0.27, TrainLoss: 0.5760, TrainAccu: 0.8500, TestLoss: 0.6599, TestAccu: 0.7900
epoch 1[6000/10000 (60%)]: Time:0.28, TrainLoss: 0.5966, TrainAccu: 0.8300, TestLoss: 0.6585, TestAccu: 0.7930
epoch 1[6500/10000 (65%)]: Time:0.30, TrainLoss: 0.7290, TrainAccu: 0.4100, TestLoss: 0.6575, TestAccu: 0.8010
epoch 1[7000/10000 (70%)]: Time:0.31, TrainLoss: 0.5628, TrainAccu: 0.9000, TestLoss: 0.6561, TestAccu: 0.8030
epoch 1[7500/10000 (75%)]: Time:0.33, TrainLoss: 0.5782, TrainAccu: 0.8400, TestLoss: 0.6545, TestAccu: 0.8080
epoch 1[8000/10000 (80%)]: Time:0.34, TrainLoss: 0.5827, TrainAccu: 0.7500, TestLoss: 0.6533, TestAccu: 0.8110
epoch 1[8500/10000 (85%)]: Time:0.36, TrainLoss: 0.5820, TrainAccu: 0.8000, TestLoss: 0.6521, TestAccu: 0.8150
epoch 1[9000/10000 (90%)]: Time:0.37, TrainLoss: 0.5722, TrainAccu: 0.8400, TestLoss: 0.6507, TestAccu: 0.8180
epoch 1[9500/10000 (95%)]: Time:0.38, TrainLoss: 0.5630, TrainAccu: 0.7800, TestLoss: 0.6495, TestAccu: 0.8190
epoch 2[0/10000 (0%)]: Time:0.45, TrainLoss: 0.5795, TrainAccu: 0.8200, TestLoss: 0.6489, TestAccu: 0.8250
epoch 2[500/10000 (5%)]: Time:0.47, TrainLoss: 0.5636, TrainAccu: 0.8200, TestLoss: 0.6474, TestAccu: 0.8280
epoch 2[1000/10000 (10%)]: Time:0.49, TrainLoss: 0.5487, TrainAccu: 0.8400, TestLoss: 0.6462, TestAccu: 0.8270
epoch 2[1500/10000 (15%)]: Time:0.50, TrainLoss: 0.5962, TrainAccu: 0.6800, TestLoss: 0.6453, TestAccu: 0.8300
epoch 2[2000/10000 (20%)]: Time:0.52, TrainLoss: 0.5503, TrainAccu: 0.8300, TestLoss: 0.6440, TestAccu: 0.8290
epoch 2[2500/10000 (25%)]: Time:0.53, TrainLoss: 0.5318, TrainAccu: 0.8800, TestLoss: 0.6423, TestAccu: 0.8240
epoch 2[3000/10000 (30%)]: Time:0.55, TrainLoss: 0.5427, TrainAccu: 0.8200, TestLoss: 0.6418, TestAccu: 0.8300
epoch 2[3500/10000 (35%)]: Time:0.56, TrainLoss: 0.5311, TrainAccu: 0.8600, TestLoss: 0.6413, TestAccu: 0.8410
epoch 2[4000/10000 (40%)]: Time:0.64, TrainLoss: 0.5333, TrainAccu: 0.8600, TestLoss: 0.6397, TestAccu: 0.8360
epoch 2[4500/10000 (45%)]: Time:0.65, TrainLoss: 0.5284, TrainAccu: 0.8800, TestLoss: 0.6385, TestAccu: 0.8380
epoch 2[5000/10000 (50%)]: Time:0.67, TrainLoss: 0.5135, TrainAccu: 0.8700, TestLoss: 0.6379, TestAccu: 0.8400
epoch 2[5500/10000 (55%)]: Time:0.68, TrainLoss: 0.5256, TrainAccu: 0.8000, TestLoss: 0.6368, TestAccu: 0.8410
epoch 2[6000/10000 (60%)]: Time:0.70, TrainLoss: 0.5081, TrainAccu: 0.8900, TestLoss: 0.6356, TestAccu: 0.8410
epoch 2[6500/10000 (65%)]: Time:0.71, TrainLoss: 0.5192, TrainAccu: 0.8300, TestLoss: 0.6347, TestAccu: 0.8420
epoch 2[7000/10000 (70%)]: Time:0.73, TrainLoss: 0.5456, TrainAccu: 0.8200, TestLoss: 0.6342, TestAccu: 0.8420
epoch 2[7500/10000 (75%)]: Time:0.74, TrainLoss: 0.5046, TrainAccu: 0.8600, TestLoss: 0.6330, TestAccu: 0.8420
epoch 2[8000/10000 (80%)]: Time:0.76, TrainLoss: 0.4884, TrainAccu: 0.8600, TestLoss: 0.6318, TestAccu: 0.8460
epoch 2[8500/10000 (85%)]: Time:0.77, TrainLoss: 0.5067, TrainAccu: 0.8300, TestLoss: 0.6312, TestAccu: 0.8460
epoch 2[9000/10000 (90%)]: Time:0.79, TrainLoss: 0.5044, TrainAccu: 0.8600, TestLoss: 0.6298, TestAccu: 0.8450
epoch 2[9500/10000 (95%)]: Time:0.80, TrainLoss: 0.4823, TrainAccu: 0.8900, TestLoss: 0.6295, TestAccu: 0.8480
epoch 3[0/10000 (0%)]: Time:0.87, TrainLoss: 0.5050, TrainAccu: 0.8700, TestLoss: 0.6281, TestAccu: 0.8490
epoch 3[500/10000 (5%)]: Time:0.89, TrainLoss: 0.4884, TrainAccu: 0.9200, TestLoss: 0.6270, TestAccu: 0.8490
epoch 3[1000/10000 (10%)]: Time:0.90, TrainLoss: 0.5106, TrainAccu: 0.8300, TestLoss: 0.6266, TestAccu: 0.8490
epoch 3[1500/10000 (15%)]: Time:0.92, TrainLoss: 0.5169, TrainAccu: 0.8400, TestLoss: 0.6257, TestAccu: 0.8490
epoch 3[2000/10000 (20%)]: Time:0.93, TrainLoss: 0.4583, TrainAccu: 0.9100, TestLoss: 0.6247, TestAccu: 0.8490
epoch 3[2500/10000 (25%)]: Time:0.95, TrainLoss: 0.4922, TrainAccu: 0.8800, TestLoss: 0.6239, TestAccu: 0.8520
epoch 3[3000/10000 (30%)]: Time:0.96, TrainLoss: 0.5025, TrainAccu: 0.8200, TestLoss: 0.6233, TestAccu: 0.8510
epoch 3[3500/10000 (35%)]: Time:0.98, TrainLoss: 0.5338, TrainAccu: 0.8100, TestLoss: 0.6222, TestAccu: 0.8520
epoch 3[4000/10000 (40%)]: Time:1.05, TrainLoss: 0.4574, TrainAccu: 0.8800, TestLoss: 0.6215, TestAccu: 0.8540
epoch 3[4500/10000 (45%)]: Time:1.07, TrainLoss: 0.5080, TrainAccu: 0.8000, TestLoss: 0.6207, TestAccu: 0.8540
epoch 3[5000/10000 (50%)]: Time:1.08, TrainLoss: 0.4640, TrainAccu: 0.8600, TestLoss: 0.6197, TestAccu: 0.8540
epoch 3[5500/10000 (55%)]: Time:1.10, TrainLoss: 0.4921, TrainAccu: 0.8700, TestLoss: 0.6191, TestAccu: 0.8590
epoch 3[6000/10000 (60%)]: Time:1.11, TrainLoss: 0.4750, TrainAccu: 0.8700, TestLoss: 0.6185, TestAccu: 0.8580
epoch 3[6500/10000 (65%)]: Time:1.13, TrainLoss: 0.4459, TrainAccu: 0.8800, TestLoss: 0.6178, TestAccu: 0.8590
epoch 3[7000/10000 (70%)]: Time:1.15, TrainLoss: 0.5113, TrainAccu: 0.7900, TestLoss: 0.6170, TestAccu: 0.8610
epoch 3[7500/10000 (75%)]: Time:1.16, TrainLoss: 0.5047, TrainAccu: 0.8000, TestLoss: 0.6162, TestAccu: 0.8610
epoch 3[8000/10000 (80%)]: Time:1.18, TrainLoss: 0.4512, TrainAccu: 0.8600, TestLoss: 0.6151, TestAccu: 0.8590
epoch 3[8500/10000 (85%)]: Time:1.19, TrainLoss: 0.4815, TrainAccu: 0.8700, TestLoss: 0.6144, TestAccu: 0.8610
epoch 3[9000/10000 (90%)]: Time:1.21, TrainLoss: 0.4892, TrainAccu: 0.8200, TestLoss: 0.6138, TestAccu: 0.8580
epoch 3[9500/10000 (95%)]: Time:1.22, TrainLoss: 0.4683, TrainAccu: 0.8500, TestLoss: 0.6133, TestAccu: 0.8600
epoch 4[0/10000 (0%)]: Time:1.29, TrainLoss: 0.4667, TrainAccu: 0.8600, TestLoss: 0.6126, TestAccu: 0.8590
epoch 4[500/10000 (5%)]: Time:1.30, TrainLoss: 0.4882, TrainAccu: 0.8400, TestLoss: 0.6118, TestAccu: 0.8610
epoch 4[1000/10000 (10%)]: Time:1.32, TrainLoss: 0.4447, TrainAccu: 0.8600, TestLoss: 0.6110, TestAccu: 0.8620
epoch 4[1500/10000 (15%)]: Time:1.34, TrainLoss: 0.4303, TrainAccu: 0.9200, TestLoss: 0.6108, TestAccu: 0.8610
epoch 4[2000/10000 (20%)]: Time:1.35, TrainLoss: 0.4219, TrainAccu: 0.9200, TestLoss: 0.6098, TestAccu: 0.8620
epoch 4[2500/10000 (25%)]: Time:1.37, TrainLoss: 0.4380, TrainAccu: 0.8800, TestLoss: 0.6093, TestAccu: 0.8610
epoch 4[3000/10000 (30%)]: Time:1.38, TrainLoss: 0.4388, TrainAccu: 0.8600, TestLoss: 0.6084, TestAccu: 0.8640
epoch 4[3500/10000 (35%)]: Time:1.45, TrainLoss: 0.4707, TrainAccu: 0.8500, TestLoss: 0.6080, TestAccu: 0.8640
epoch 4[4000/10000 (40%)]: Time:1.47, TrainLoss: 0.4410, TrainAccu: 0.9000, TestLoss: 0.6071, TestAccu: 0.8660
epoch 4[4500/10000 (45%)]: Time:1.49, TrainLoss: 0.4668, TrainAccu: 0.8700, TestLoss: 0.6065, TestAccu: 0.8640
epoch 4[5000/10000 (50%)]: Time:1.50, TrainLoss: 0.4691, TrainAccu: 0.8600, TestLoss: 0.6061, TestAccu: 0.8650
epoch 4[5500/10000 (55%)]: Time:1.52, TrainLoss: 0.4432, TrainAccu: 0.8500, TestLoss: 0.6055, TestAccu: 0.8660
